country,geo,year,month,keyword,trend_score
China,CN,2018,12,BYD,0.0
China,CN,2018,12,Tesla,32.0
China,CN,2018,12,electric car,0.0
China,CN,2019,1,BYD,2.25
China,CN,2019,1,Tesla,33.25
China,CN,2019,1,electric car,0.0
China,CN,2019,2,BYD,0.0
China,CN,2019,2,Tesla,43.5
China,CN,2019,2,electric car,0.0
China,CN,2019,3,BYD,2.4
China,CN,2019,3,Tesla,51.2
China,CN,2019,3,electric car,0.0
China,CN,2019,4,BYD,2.25
China,CN,2019,4,Tesla,45.75
China,CN,2019,4,electric car,0.0
China,CN,2019,5,BYD,0.0
China,CN,2019,5,Tesla,46.0
China,CN,2019,5,electric car,0.0
China,CN,2019,6,BYD,0.0
China,CN,2019,6,Tesla,38.2
China,CN,2019,6,electric car,0.0
China,CN,2019,7,BYD,0.0
China,CN,2019,7,Tesla,34.5
China,CN,2019,7,electric car,0.0
China,CN,2019,8,BYD,0.0
China,CN,2019,8,Tesla,31.75
China,CN,2019,8,electric car,0.0
China,CN,2019,9,BYD,2.4
China,CN,2019,9,Tesla,33.6
China,CN,2019,9,electric car,0.0
China,CN,2019,10,BYD,0.0
China,CN,2019,10,Tesla,40.0
China,CN,2019,10,electric car,0.0
China,CN,2019,11,BYD,0.0
China,CN,2019,11,Tesla,63.25
China,CN,2019,11,electric car,0.0
China,CN,2019,12,BYD,0.0
China,CN,2019,12,Tesla,50.0
China,CN,2019,12,electric car,0.0
China,CN,2020,1,BYD,2.75
China,CN,2020,1,Tesla,67.25
China,CN,2020,1,electric car,0.0
China,CN,2020,2,BYD,0.0
China,CN,2020,2,Tesla,68.0
China,CN,2020,2,electric car,0.0
China,CN,2020,3,BYD,0.0
China,CN,2020,3,Tesla,54.4
China,CN,2020,3,electric car,0.0
China,CN,2020,4,BYD,0.0
China,CN,2020,4,Tesla,58.25
China,CN,2020,4,electric car,0.0
China,CN,2020,5,BYD,0.0
China,CN,2020,5,Tesla,45.2
China,CN,2020,5,electric car,0.0
China,CN,2020,6,BYD,0.0
China,CN,2020,6,Tesla,47.25
China,CN,2020,6,electric car,0.0
China,CN,2020,7,BYD,0.0
China,CN,2020,7,Tesla,54.0
China,CN,2020,7,electric car,0.0
China,CN,2020,8,BYD,0.0
China,CN,2020,8,Tesla,61.0
China,CN,2020,8,electric car,0.0
China,CN,2020,9,BYD,0.0
China,CN,2020,9,Tesla,78.5
China,CN,2020,9,electric car,0.0
China,CN,2020,10,BYD,0.0
China,CN,2020,10,Tesla,58.75
China,CN,2020,10,electric car,0.0
China,CN,2020,11,BYD,0.0
China,CN,2020,11,Tesla,64.6
China,CN,2020,11,electric car,0.0
China,CN,2020,12,BYD,0.0
China,CN,2020,12,EV charging,0.0
China,CN,2020,12,Tesla,71.4
China,CN,2020,12,electric car,0.0
China,CN,2020,12,electric vehicle,0.0
China,CN,2021,1,BYD,6.4
China,CN,2021,1,EV charging,0.0
China,CN,2021,1,Tesla,79.0
China,CN,2021,1,electric car,0.0
China,CN,2021,1,electric vehicle,0.0
China,CN,2021,2,BYD,3.25
China,CN,2021,2,EV charging,0.0
China,CN,2021,2,Tesla,82.25
China,CN,2021,2,electric car,0.0
China,CN,2021,2,electric vehicle,0.0
China,CN,2021,3,BYD,2.5
China,CN,2021,3,EV charging,0.0
China,CN,2021,3,Tesla,63.75
China,CN,2021,3,electric car,3.25
China,CN,2021,3,electric vehicle,25.0
China,CN,2021,4,BYD,7.25
China,CN,2021,4,EV charging,0.0
China,CN,2021,4,Tesla,57.0
China,CN,2021,4,electric car,0.0
China,CN,2021,4,electric vehicle,0.0
China,CN,2021,5,BYD,1.4
China,CN,2021,5,EV charging,0.0
China,CN,2021,5,Tesla,51.0
China,CN,2021,5,electric car,0.0
China,CN,2021,5,electric vehicle,0.0
China,CN,2021,6,BYD,1.5
China,CN,2021,6,EV charging,0.0
China,CN,2021,6,Tesla,40.75
China,CN,2021,6,electric car,0.0
China,CN,2021,6,electric vehicle,0.0
China,CN,2021,7,BYD,1.75
China,CN,2021,7,EV charging,0.0
China,CN,2021,7,Tesla,41.0
China,CN,2021,7,electric car,0.0
China,CN,2021,7,electric vehicle,0.0
China,CN,2021,8,BYD,6.2
China,CN,2021,8,EV charging,0.0
China,CN,2021,8,Tesla,46.2
China,CN,2021,8,electric car,1.0
China,CN,2021,8,electric vehicle,0.0
China,CN,2021,9,BYD,3.0
China,CN,2021,9,EV charging,0.0
China,CN,2021,9,Tesla,43.25
China,CN,2021,9,electric car,1.5
China,CN,2021,9,electric vehicle,0.0
China,CN,2021,10,BYD,3.2
China,CN,2021,10,EV charging,0.0
China,CN,2021,10,Tesla,50.0
China,CN,2021,10,electric car,1.2
China,CN,2021,10,electric vehicle,0.0
China,CN,2021,11,BYD,5.25
China,CN,2021,11,EV charging,0.0
China,CN,2021,11,Tesla,55.25
China,CN,2021,11,electric car,1.5
China,CN,2021,11,electric vehicle,0.0
China,CN,2021,12,BYD,8.2
China,CN,2021,12,EV charging,0.0
China,CN,2021,12,Tesla,50.6
China,CN,2021,12,electric car,0.0
China,CN,2021,12,electric vehicle,0.0
China,CN,2022,1,BYD,8.0
China,CN,2022,1,EV charging,0.0
China,CN,2022,1,Tesla,79.0
China,CN,2022,1,electric car,0.0
China,CN,2022,1,electric vehicle,0.0
China,CN,2022,2,BYD,13.75
China,CN,2022,2,EV charging,0.0
China,CN,2022,2,Tesla,72.0
China,CN,2022,2,electric car,0.0
China,CN,2022,2,electric vehicle,0.0
China,CN,2022,3,BYD,10.5
China,CN,2022,3,EV charging,0.0
China,CN,2022,3,Tesla,73.75
China,CN,2022,3,electric car,7.25
China,CN,2022,3,electric vehicle,0.0
China,CN,2022,4,BYD,10.75
China,CN,2022,4,EV charging,0.0
China,CN,2022,4,Tesla,76.0
China,CN,2022,4,electric car,4.0
China,CN,2022,4,electric vehicle,25.0
China,CN,2022,5,BYD,10.4
China,CN,2022,5,EV charging,0.0
China,CN,2022,5,Tesla,80.4
China,CN,2022,5,electric car,0.0
China,CN,2022,5,electric vehicle,13.0
China,CN,2022,6,BYD,15.25
China,CN,2022,6,EV charging,0.0
China,CN,2022,6,Tesla,75.5
China,CN,2022,6,electric car,0.0
China,CN,2022,6,electric vehicle,16.75
China,CN,2022,7,BYD,14.2
China,CN,2022,7,EV charging,13.0
China,CN,2022,7,Tesla,66.6
China,CN,2022,7,electric car,3.0
China,CN,2022,7,electric vehicle,0.0
China,CN,2022,8,BYD,14.0
China,CN,2022,8,EV charging,0.0
China,CN,2022,8,Tesla,65.5
China,CN,2022,8,electric car,0.0
China,CN,2022,8,electric vehicle,0.0
China,CN,2022,9,BYD,13.25
China,CN,2022,9,EV charging,0.0
China,CN,2022,9,Tesla,72.75
China,CN,2022,9,electric car,0.0
China,CN,2022,9,electric vehicle,0.0
China,CN,2022,10,BYD,15.6
China,CN,2022,10,EV charging,0.0
China,CN,2022,10,Tesla,81.0
China,CN,2022,10,electric car,3.6
China,CN,2022,10,electric vehicle,0.0
China,CN,2022,11,BYD,15.0
China,CN,2022,11,EV charging,0.0
China,CN,2022,11,Tesla,66.0
China,CN,2022,11,electric car,1.75
China,CN,2022,11,electric vehicle,0.0
China,CN,2022,12,BYD,13.25
China,CN,2022,12,EV charging,0.0
China,CN,2022,12,Tesla,68.5
China,CN,2022,12,electric car,0.0
China,CN,2022,12,electric vehicle,0.0
China,CN,2023,1,BYD,20.6
China,CN,2023,1,EV charging,0.0
China,CN,2023,1,Tesla,81.6
China,CN,2023,1,electric car,0.0
China,CN,2023,1,electric vehicle,0.0
China,CN,2023,2,BYD,15.5
China,CN,2023,2,EV charging,0.0
China,CN,2023,2,Tesla,78.0
China,CN,2023,2,electric car,0.0
China,CN,2023,2,electric vehicle,15.5
China,CN,2023,3,BYD,17.5
China,CN,2023,3,EV charging,0.0
China,CN,2023,3,Tesla,62.25
China,CN,2023,3,electric car,1.5
China,CN,2023,3,electric vehicle,0.0
China,CN,2023,4,BYD,24.2
China,CN,2023,4,EV charging,0.0
China,CN,2023,4,Tesla,66.6
China,CN,2023,4,electric car,2.6
China,CN,2023,4,electric vehicle,12.2
China,CN,2023,5,BYD,21.75
China,CN,2023,5,EV charging,0.0
China,CN,2023,5,Tesla,64.75
China,CN,2023,5,electric car,1.5
China,CN,2023,5,electric vehicle,16.0
China,CN,2023,6,BYD,20.0
China,CN,2023,6,EV charging,0.0
China,CN,2023,6,Tesla,66.5
China,CN,2023,6,electric car,3.5
China,CN,2023,6,electric vehicle,0.0
China,CN,2023,7,BYD,19.8
China,CN,2023,7,EV charging,0.0
China,CN,2023,7,Tesla,67.4
China,CN,2023,7,electric car,3.0
China,CN,2023,7,electric vehicle,0.0
China,CN,2023,8,BYD,20.25
China,CN,2023,8,EV charging,0.0
China,CN,2023,8,Tesla,70.0
China,CN,2023,8,electric car,1.5
China,CN,2023,8,electric vehicle,0.0
China,CN,2023,9,BYD,20.0
China,CN,2023,9,EV charging,0.0
China,CN,2023,9,Tesla,58.75
China,CN,2023,9,electric car,1.5
China,CN,2023,9,electric vehicle,0.0
