country,year,month,gasoline_price_usd_per_liter,source,frequency
China,2019,1,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,2,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,3,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,4,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,5,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,6,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,7,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,8,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,9,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,10,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,11,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2019,12,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,1,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,2,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,3,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,4,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,5,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,6,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,7,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,8,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,9,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,10,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,11,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2020,12,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,1,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,2,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,3,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,4,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,5,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,6,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,7,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,8,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,9,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,10,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,11,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2021,12,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,1,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,2,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,3,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,4,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,5,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,6,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,7,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,8,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,9,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,10,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,11,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2022,12,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,1,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,2,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,3,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,4,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,5,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
China,2023,6,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated
